code,name
020004,МВД ПО РЕСП. БАШКОРТОСТАН
020004,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИРОВСКОМ РАЙОНЕ Г. УФЫ
020005,МВД ПО РЕСП. БАШКОРТОСТАН
020005,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЛЕНИНСКОМ РАЙОНЕ Г. УФЫ
020006,МВД ПО РЕСП. БАШКОРТОСТАН
020006,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОКТЯБРЬСКОМ РАЙОНЕ Г. УФЫ
020007,МВД ПО РЕСП. БАШКОРТОСТАН
020007,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОРДЖОНИКИДЗЕВСКОМ РАЙОНЕ Г. УФЫ
020008,МВД ПО РЕСП. БАШКОРТОСТАН
020008,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СОВЕТСКОМ РАЙОНЕ Г. УФЫ
020009,МВД ПО РЕСП. БАШКОРТОСТАН
020009,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ
020009,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ
020009,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ
020010,МВД ПО РЕСП. БАШКОРТОСТАН
020010,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БАЙМАК
020011,МВД ПО РЕСП. БАШКОРТОСТАН
020011,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛЕБЕЙ
020012,МВД ПО РЕСП. БАШКОРТОСТАН
020012,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛОРЕЦК
020013,МВД ПО РЕСП. БАШКОРТОСТАН
020013,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БИРСК
020014,МВД ПО РЕСП. БАШКОРТОСТАН
020014,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЛАГОВЕЩЕНСК
020015,МВД ПО РЕСП. БАШКОРТОСТАН
020015,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДАВЛЕКАНОВО
020016,МВД ПО РЕСП. БАШКОРТОСТАН
020016,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДЮРТЮЛИ
020016,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДЮРТЮЛИ
020017,МВД ПО РЕСП. БАШКОРТОСТАН
020017,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ИШИМБАЙ
020018,МВД ПО РЕСП. БАШКОРТОСТАН
020018,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. КУМЕРТАУ
020019,МВД ПО РЕСП. БАШКОРТОСТАН
020019,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЛЕУЗ
020020,МВД ПО РЕСП. БАШКОРТОСТАН
020020,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АБЗЕЛИНОВСКОМ РАЙОНЕ
020020,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. НЕФТЕКАМСК
020021,МВД ПО РЕСП. БАШКОРТОСТАН
020021,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ОКТЯБРЬСКИЙ
020022,МВД ПО РЕСП. БАШКОРТОСТАН
020022,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. САЛАВАТ
020023,МВД ПО РЕСП. БАШКОРТОСТАН
020023,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СИБАЙ
020024,МВД ПО РЕСП. БАШКОРТОСТАН
020024,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СТЕРЛИТАМАК
020025,МВД ПО РЕСП. БАШКОРТОСТАН
020025,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ТУЙМАЗЫ
020026,МВД ПО РЕСП. БАШКОРТОСТАН
020026,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. УЧАЛЫ
020027,МВД ПО РЕСП. БАШКОРТОСТАН
020027,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ЯНАУЛ
020028,МВД ПО РЕСП. БАШКОРТОСТАН
020028,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АБЗЕЛИЛОВСКОМ РАЙОНЕ
020029,МВД ПО РЕСП. БАШКОРТОСТАН
020029,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АЛЬШЕЕВСКОМ РАЙОНЕ
020030,МВД ПО РЕСП. БАШКОРТОСТАН
020030,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО АРХАНГЕЛЬСКОМУ РАЙОНУ РЕСП. БАШКОРТОСТАН
020030,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АРХАНГЕЛЬСКОМ РАЙОНЕ
020031,МВД ПО РЕСП. БАШКОРТОСТАН
020031,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АСКИНСКОМ РАЙОНЕ
020031,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АСКИНСКОМ РАЙОНЕ
020032,МВД ПО РЕСП. БАШКОРТОСТАН
020032,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АУРГАЗИНСКОМ РАЙОНЕ
020033,МВД ПО РЕСП. БАШКОРТОСТАН
020033,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАКАЛИНСКОМ РАЙОНЕ
020034,МВД ПО РЕСП. БАШКОРТОСТАН
020034,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАЛТАЧЕВСКОМ РАЙОНЕ
020035,МВД ПО РЕСП. БАШКОРТОСТАН
020035,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ РАЙОНЕ
020035,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ РАЙОНЕ
020036,МВД ПО РЕСП. БАШКОРТОСТАН
020036,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БИЖБУЛЯКСКОМ РАЙОНЕ
020037,МВД ПО РЕСП. БАШКОРТОСТАН
020037,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЛАГОВАРСКОМ РАЙОНЕ
020038,МВД ПО РЕСП. БАШКОРТОСТАН
020038,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУЗДЯКСКОМ РАЙОНЕ
020039,МВД ПО РЕСП. БАШКОРТОСТАН
020039,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРАЕВСКОМ РАЙОНЕ
020040,МВД ПО РЕСП. БАШКОРТОСТАН
020040,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРЗЯНОВСКОМ РАЙОНЕ
020041,МВД ПО РЕСП. БАШКОРТОСТАН
020041,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ГАФУРИЙСКОМ РАЙОНЕ
020042,МВД ПО РЕСП. БАШКОРТОСТАН
020042,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДУВАНСКОМ РАЙОНЕ
020042,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДУВАНСКОМ РАЙОНЕ
020043,МВД ПО РЕСП. БАШКОРТОСТАН
020043,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ РАЙОНЕ
020043,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ РАЙОНЕ
020044,МВД ПО РЕСП. БАШКОРТОСТАН
020044,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИАНЧУРИНСКОМ РАЙОНЕ
020045,МВД ПО РЕСП. БАШКОРТОСТАН
020045,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИЛАИРСКОМ РАЙОНЕ
020046,МВД ПО РЕСП. БАШКОРТОСТАН
020046,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИГЛИНСКОМ РАЙОНЕ
020047,МВД ПО РЕСП. БАШКОРТОСТАН
020047,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИЛИШЕВСКОМ РАЙОНЕ
020047,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИЛИШЕВСКОМ РАЙОНЕ
020048,МВД ПО РЕСП. БАШКОРТОСТАН
020048,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛТАСИНСКОМ РАЙОНЕ
020049,МВД ПО РЕСП. БАШКОРТОСТАН
020049,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ РАЙОНЕ
020049,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ РАЙОНЕ
020050,МВД ПО РЕСП. БАШКОРТОСТАН
020050,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРМАСКАЛИНСКОМ РАЙОНЕ
020051,МВД ПО РЕСП. БАШКОРТОСТАН
020051,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИГИНСКОМ РАЙОНЕ
020051,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИГИНСКОМ РАЙОНЕ
020052,МВД ПО РЕСП. БАШКОРТОСТАН
020052,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КРАСНОКАМСКОМ РАЙОНЕ
020053,МВД ПО РЕСП. БАШКОРТОСТАН
020053,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУГАРЧИНСКОМ РАЙОНЕ
020053,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУГАРЧИНСКОМ РАЙОНЕ
020054,МВД ПО РЕСП. БАШКОРТОСТАН
020054,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУШНАРЕНКОВСКОМ РАЙОНЕ
020055,МВД ПО РЕСП. БАШКОРТОСТАН
020055,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУЮРГАЗИНСКОМ РАЙОНЕ
020055,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУЮРГАЗИНСКОМ РАЙОНЕ
020056,МВД ПО РЕСП. БАШКОРТОСТАН
020056,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ РАЙОНЕ
020056,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ РАЙОНЕ
020057,МВД ПО РЕСП. БАШКОРТОСТАН
020057,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИШКИНСКОМ РАЙОНЕ
020057,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИШКИНСКОМ РАЙОНЕ
020058,МВД ПО РЕСП. БАШКОРТОСТАН
020058,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИЯКИНСКОМ РАЙОНЕ
020058,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИЯКИНСКОМ РАЙОНЕ
020059,МВД ПО РЕСП. БАШКОРТОСТАН
020059,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В НУРИМАНОВСКОМ РАЙОНЕ
020060,МВД ПО РЕСП. БАШКОРТОСТАН
020060,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В САЛАВАТСКОМ РАЙОНЕ
020061,МВД ПО РЕСП. БАШКОРТОСТАН
020061,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ РАЙОНЕ
020061,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ РАЙОНЕ
020062,МВД ПО РЕСП. БАШКОРТОСТАН
020062,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ РАЙОНЕ
020062,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ РАЙОНЕ
020063,МВД ПО РЕСП. БАШКОРТОСТАН
020063,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ТАТЫШЛИНСКОМ РАЙОНЕ
020063,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ТАТЫШЛИНСКОМ РАЙОНЕ
020064,МВД ПО РЕСП. БАШКОРТОСТАН
020064,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В УФИМСКОМ РАЙОНЕ
020065,МВД ПО РЕСП. БАШКОРТОСТАН
020065,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ФЕДОРОВСКОМ РАЙОНЕ
020065,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ФЕДОРОВСКОМ РАЙОНЕ
020066,МВД ПО РЕСП. БАШКОРТОСТАН
020066,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ РАЙОНЕ
020066,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ РАЙОНЕ
020067,МВД ПО РЕСП. БАШКОРТОСТАН
020067,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧЕКМАГУШЕВСКОМ РАЙОНЕ
020068,МВД ПО РЕСП. БАШКОРТОСТАН
020068,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧИШМИНСКОМ РАЙОНЕ
020069,МВД ПО РЕСП. БАШКОРТОСТАН
020069,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ШАРАНСКОМ РАЙОНЕ
020070,МВД ПО РЕСП. БАШКОРТОСТАН
020070,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЖГОРЬЕ
020070,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЖГОРЬЕ
021001,МВД РЕСП. БАШКОРТОСТАН
022001,ДЕМСКИМ РОВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022001,ДЕМСКИМ РОВД Г. УФЫ
022002,КАЛИНИНСКИМ РАЙОННЫМ УВД Г. УФЫ
022002,КАЛИНИНСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022003,КИРОВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022004,ЛЕНИНСКИМ РОВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022004,ЛЕНИНСКИМ РОВД Г. УФЫ
022005,ОРДЖОНИКИДЗЕВСКИМ РОВД Г. УФЫ
022005,ОРДЖОНИКИДЗЕВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022006,ОКТЯБРЬСКИМ РОВД Г. УФЫ
022006,ОКТЯБРЬСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022007,СОВЕТСКИМ РОВД Г. УФЫ
022007,СОВЕТСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022008,БЕЛЕБЕЕВСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022008,ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022009,УВД Г. УФЫ
022010,БЕЛОРЕЦКИМ ГРУВД РЕСП. БАШКОРТОСТАН
022010,УВД Г. БЕЛОРЕЦКА И БЕЛОРЕЦКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022011,УВД Г. НЕФТЕКАМСКА РЕСП. БАШКОРТОСТАН
022012,ОВД Г. ОКТЯБРЬСКОГО РЕСП. БАШКОРТОСТАН
022012,ОКТЯБРЬСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022013,УВД Г. САЛАВАТА РЕСП. БАШКОРТОСТАН
022014,ОВД Г. СИБАЯ РЕСП. БАШКОРТОСТАН
022014,СИБАЙСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022015,УВД Г. СТЕРЛИТАМАКА РЕСП. БАШКОРТОСТАН
022016,БИРСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022016,ОВД Г. БИРСКА И БИРСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022017,ИШИМБАЙСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022017,ОВД Г. ИШИМБАЯ И ИШИМБАЙСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022019,КУМЕРТАУСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022019,ОВД Г. КУМЕРТАУ РЕСП. БАШКОРТОСТАН
022020,ОВД Г. ТУЙМАЗЫ И ТУЙМАЗИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022020,ТУЙМАЗИНСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022021,ОВД Г. УЧАЛЫ И УЧАЛИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022022,АБЗЕЛИЛОВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022023,АЛЬШЕЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022024,АРХАНГЕЛЬСКИМ РОВД РЕСП. БАШКОРТОСТАН
022025,АСКИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022026,АУРГАЗИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022027,БАЙМАКСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022027,ОВД Г. БАЙМАКА И БАЙМАКСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022028,БАКАЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022029,БАЛТАЧЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022031,БЕЛОКАТАЙСКИМ РОВД РЕСП. БАШКОРТОСТАН
022033,БИЖБУЛЯКСИМ РОВД РЕСП. БАШКОРТОСТАН
022033,БИЖБУЛЯКСКИМ РОВД РЕСП. БАШКОРТОСТАН
022034,БЛАГОВАРСКИМ РОВД РЕСП. БАШКОРТОСТАН
022035,БЛАГОВЕЩЕНСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022035,ОВД Г. БЛАГОВЕЩЕНСКА И БЛАГОВЕЩЕНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022036,БУЗДЯКСКИМ РОВД РЕСП. БАШКОРТОСТАН
022037,БУРАЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022037,БУРАЕВСКИМ РОВД
022038,БУРЗЯНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022039,ГАФУРИЙСКИМ РОВД РЕСП. БАШКОРТОСТАН
022040,ДАВЛЕКАНОВСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022040,ДАВЛЕКАНОВСКИМ ГРОВД
022040,ОВД Г. ДАВЛЕКАНОВО И ДАВЛЕКАНОВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022041,ДУВАНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022042,ДЮРТЮЛИНСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022042,ДЮРТЮЛИНСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022042,ОВД Г. ДЮРТЮЛИ РЕСП. БАШКОРТОСТАН
022043,ЕРМЕКЕЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022044,ЗИАНЧУРИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022045,ЗИЛАИРСКИМ РОВД РЕСП. БАШКОРТОСТАН
022046,ИГЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
